Stories	कहानियाँ
The Phoenix Reborn	फ़ीनिक्स का फिर से जन्म
In old tales there lived a wondrous bird called the phoenix, with feathers of flame, that lived for hundreds of years. When at last its long life drew to a close, it did not simply vanish. It built a nest of fragrant branches, settled into it, and let itself be wrapped in fire - and from the ashes of what it had been, a new young phoenix rose, bright and whole, to begin again. People told the story whenever a thing seemed truly ended, to remember that some endings are only the doorway to a new beginning.	पुरानी कथाओं में एक अनोखा पंछी होता था, जिसे फ़ीनिक्स कहते थे — आग जैसे परों वाला, सैकड़ों साल जीने वाला। जब आख़िर उसकी लंबी उम्र पूरी होने को आती, तो वह यूँ ही ग़ायब नहीं हो जाता। वह ख़ुशबूदार टहनियों का एक घोंसला बनाता, उसमें बैठ जाता, और ख़ुद को आग में लिपट जाने देता — और जो वह था उसकी राख से एक नया, जवान फ़ीनिक्स उठ खड़ा होता, चमकीला और पूरा, फिर से शुरू करने के लिए। लोग यह कहानी तब सुनाते थे, जब कोई चीज़ सचमुच ख़त्म लगती — यह याद रखने के लिए कि कुछ अंत बस एक नई शुरुआत का दरवाज़ा होते हैं।
Endings will come, little one, even hard ones. But you carry the phoenix in you - the power to rise from the ash and begin again.	अंत आएँगे, नन्ही जान, मुश्किल अंत भी। पर फ़ीनिक्स तुम्हारे भीतर है — राख से उठकर फिर शुरू कर देने की ताक़त।
Atlas Who Held the Sky	एटलस, जिसने आसमान थामा
In the Greek tales there was a mighty figure named Atlas whose task it was to hold the great weight of the sky upon his shoulders, so that it would not come crashing down upon the earth. Day and night he stood, strong and steady, bearing a burden no one else could carry, asking for no praise and taking no rest. People looking up at the unbroken sky rarely thought of him at all - yet it stayed up because of him. The tellers remembered Atlas whenever someone quietly carried a great weight so that others could live easy beneath it.	यूनानी कथाओं में एटलस नाम का एक बलशाली जीव था, जिसका काम था पूरे आसमान का भारी बोझ अपने कंधों पर थामे रखना, ताकि वह धरती पर आ न गिरे। दिन हो या रात, वह खड़ा रहता — मज़बूत और अडिग — ऐसा बोझ उठाए जिसे और कोई नहीं उठा सकता था; न किसी तारीफ़ की चाह, न ज़रा-सा आराम। ऊपर बिना दरार के फैले आसमान को देखने वाले लोग उसके बारे में शायद ही कभी सोचते — फिर भी आसमान टिका उसी की वजह से था। जब भी कोई चुपचाप कोई बड़ा बोझ उठाता है, ताकि बाक़ी लोग उसके नीचे आराम से जी सकें, क़िस्सागो एटलस को याद कर लेते हैं।
There's a kind of strength that holds up the sky so others can live easy beneath it. I'll carry what I can, so your sky stays clear.	एक ताक़त ऐसी भी होती है जो आसमान थामे रखती है, ताकि बाक़ी लोग उसके नीचे आराम से जी सकें। जितना मुझसे होगा, उठाऊँगा — ताकि तुम्हारा आसमान साफ़ रहे।
Anansi and the Box of Stories	अनांसी और कहानियों की पेटी
In the old West African tales, all the world's stories belonged to the sky-god and were locked away in a single box. A small, clever spider named Anansi longed to share them with everyone below. He could not win them by strength, for he had little - but by cleverness, patience, and a great deal of cunning, he completed the seemingly impossible tasks the sky-god set, and earned the box. Then he opened it, and the stories spilled out across the whole world, where they have lived ever since. That is why stories belong to everyone now - because a little spider thought they should.	पश्चिमी अफ़्रीका की पुरानी कथाओं में, दुनिया की सारी कहानियाँ आसमान के देवता की थीं और एक ही पेटी में बंद रखी थीं। अनांसी नाम की एक छोटी, चालाक मकड़ी चाहती थी कि ये कहानियाँ नीचे सबको मिल जाएँ। वह उन्हें ताक़त से नहीं जीत सकती थी, क्योंकि ताक़त तो उसमें थी ही कम — पर चतुराई, सब्र और ख़ूब सारी होशियारी से उसने वे लगभग नामुमकिन काम पूरे कर दिए जो आसमान के देवता ने रखे थे, और पेटी जीत ली। फिर उसने पेटी खोली, और कहानियाँ पूरी दुनिया में बिखर गईं, जहाँ वे तब से रहती आई हैं। इसीलिए आज कहानियाँ सबकी हैं — क्योंकि एक नन्ही मकड़ी को लगा कि उन्हें सबकी होना चाहिए।
Stories are for everyone, little one - and I'll fill yours with as many as I can. Cleverness and heart can unlock almost anything.	कहानियाँ सबकी होती हैं, नन्ही जान — और तुम्हारी झोली मैं जितनी भर सकूँ, उतनी कहानियों से भर दूँगा। चतुराई और दिल मिलकर लगभग कोई भी ताला खोल लेते हैं।
Daedalus the Maker	डेडेलस, कारीगर
In the Greek tales, Daedalus was the greatest maker and inventor of his age - a builder of wonders, a solver of puzzles no one else could solve. When he and his son were trapped on an island with the sea all around and no ship to take them, he did not surrender to the walls of his prison. He looked up at the birds, studied the lift of their wings, and built a way out of nothing but feathers, thread, and a bold idea. The tellers loved him as the friend of every craftsman: proof that a curious, patient maker can find a door where others see only a wall.	यूनानी कथाओं में डेडेलस अपने ज़माने का सबसे बड़ा कारीगर और आविष्कारक था — अजूबों का बनाने वाला, ऐसी पहेलियाँ सुलझाने वाला जो और कोई नहीं सुलझा पाता। जब वह और उसका बेटा एक ऐसे टापू पर फँस गए, जिसके चारों ओर समंदर था और ले जाने को कोई जहाज़ नहीं, तो उसने अपनी क़ैद की दीवारों के आगे हार नहीं मानी। उसने ऊपर पंछियों की तरफ़ देखा, उनके पंखों के उठने का तरीक़ा समझा, और परों, धागे और एक निडर ख़याल के सिवा कुछ भी न होते हुए बाहर निकलने का रास्ता बना लिया। क़िस्सागो उसे हर कारीगर का दोस्त मानते थे: इस बात का सबूत कि जिज्ञासु, सब्र वाले हाथ वहाँ दरवाज़ा ढूँढ लेते हैं, जहाँ बाक़ी सबको सिर्फ़ दीवार दिखती है।
When you're hemmed in with no way out, little one, look up and make one. A patient maker's hands can build wings from almost nothing.	जब चारों तरफ़ से घिर जाओ और कोई रास्ता न दिखे, नन्ही जान, तो ऊपर देखना और रास्ता ख़ुद बना लेना। सब्र वाले कारीगर के हाथ लगभग कुछ भी नहीं से पंख बना लेते हैं।
